time,mark,price,price_next,signal,desired_pos,position,turnover,cost,gross_ret,strategy_ret,equity,event
2025-09-25,open,113407.0,109436.0,1.0,-1.0,-1.0,0.0,0.0,0.03628604846668382,0.03628604846668382,1.0640994961647554,
2025-09-26,open,109436.0,110956.0,1.0,1.0,1.0,2.0,0.001,0.013889396542271282,0.01288939654227128,1.077815096531254,signal
2025-09-29,open,110956.0,114289.0,-1.0,1.0,1.0,0.0,0.0,0.03003893435235594,0.03003893435235594,1.1101915134599345,
2025-09-30,open,114289.0,114227.0,-1.0,-1.0,-1.0,2.0,0.001,0.0005427788526355393,-0.00045722114736446075,1.1096839104223561,signal
2025-10-01,open,114227.0,117640.0,-1.0,-1.0,-1.0,0.0,0.0,-0.029012240734444084,-0.029012240734444084,1.0774894936740436,
2025-10-02,open,117640.0,120220.0,-1.0,-1.0,-1.0,0.0,0.0,-0.021460655464980882,-0.021460655464980882,1.0543658628831682,
2025-10-03,open,120220.0,122822.0,-1.0,-1.0,-1.0,0.0,0.0,-0.021185129699890948,-0.021185129699890948,1.032028985326851,
2025-10-06,open,122822.0,125165.0,-1.0,-1.0,-1.0,0.0,0.0,-0.018719290536491795,-0.018719290536491795,1.0127101349084369,
2025-10-07,open,125165.0,122113.0,-1.0,-1.0,-1.0,0.0,0.0,0.02499324396255931,0.02499324396255931,1.0380210463735597,
2025-10-08,open,122113.0,123334.0,-1.0,-1.0,-1.0,0.0,0.0,-0.009899946486775724,-0.009899946486775724,1.0277446935623145,
2025-10-09,open,123334.0,121563.0,-1.0,-1.0,-1.0,0.0,0.0,0.014568577609963551,0.014568577609963551,1.0427174718937053,
2025-10-10,open,121563.0,114985.0,1.0,-1.0,-1.0,0.0,0.0,0.05720746184284908,0.05720746184284908,1.1023686918799365,
2025-10-13,open,114985.0,115804.0,-1.0,1.0,1.0,2.0,0.001,0.00712266817410967,0.00612266817410967,1.1091181295858448,signal
